@2022-02-23 Wednesday 14:03:08 [logger.py -- write]68 : INFO - epoch: 9, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.865000, train_avg_loss: 0.001291, validate_avg_loss: 0.769124, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 14:08:06 [logger.py -- write]68 : INFO - epoch: 10, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.860000, train_avg_loss: 0.000653, validate_avg_loss: 0.795733, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 14:12:59 [logger.py -- write]68 : INFO - epoch: 11, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.860000, train_avg_loss: 0.000415, validate_avg_loss: 0.812134, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 14:17:53 [logger.py -- write]68 : INFO - epoch: 12, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.850000, train_avg_loss: 0.000367, validate_avg_loss: 0.793571, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 14:22:50 [logger.py -- write]68 : INFO - epoch: 13, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.865000, train_avg_loss: 0.000297, validate_avg_loss: 0.837555, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 14:27:46 [logger.py -- write]68 : INFO - epoch: 14, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.860000, train_avg_loss: 0.000233, validate_avg_loss: 0.873310, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 14:32:42 [logger.py -- write]68 : INFO - epoch: 15, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.860000, train_avg_loss: 0.000236, validate_avg_loss: 0.838928, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 14:37:31 [logger.py -- write]68 : INFO - epoch: 16, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.860000, train_avg_loss: 0.000187, validate_avg_loss: 0.849677, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 14:42:22 [logger.py -- write]68 : INFO - epoch: 17, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.865000, train_avg_loss: 0.000178, validate_avg_loss: 0.863542, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
@2022-02-23 Wednesday 14:47:11 [logger.py -- write]68 : INFO - epoch: 18, lr: 0.000100, eval_train: 1.000000, eval_validate: 0.860000, train_avg_loss: 0.000125, validate_avg_loss: 0.865683, gpu_index: 0, net: resnet18, save: /home/sidra/Documents/STOIC/image_classification_pytorch/save_model/model.pth
